Designator,Mid X,Mid Y,Rotation,Layer
220OHMS1,97.664096,-32.579061,180.0,top
220OHMS2,105.511144,-32.579061,180.0,top
A1,60.400247,-45.643543,90.0,top
D1,97.887852,-37.301163,0.0,top
D2,105.443215,-37.222461,0.0,top
D3,53.530221,-63.938544,180.0,top
J1,46.784588,-28.547838,270.0,top
J11,150.01875,-59.03125,0.0,top
J12,153.34875,-59.03125,0.0,top
J13,156.67875,-59.03125,0.0,top
J14,160.00875,-59.03125,0.0,top
J2,52.8875,-28.575,90.0,top
J3,59.03125,-28.575,90.0,top
J4,65.374007,-28.609978,90.0,top
J5,44.812879,-61.9125,90.0,top
J6,44.7779,-64.264191,90.0,top
J7,143.35875,-59.03125,0.0,top
J8,146.68875,-59.03125,0.0,top
SW1,99.449018,-47.768488,0.0,top
SW2,108.974018,-47.768488,0.0,top
SW3,118.499018,-47.768488,0.0,top
SW4,128.024018,-47.768488,0.0,top
SW5,137.549018,-47.768488,0.0,top
SW6,147.074018,-47.768488,0.0,top
SW7,156.635913,-47.81484,180.0,top
